,Needs
804,"Because I started in the Corona year, there is almost no contact between me and fellow students. At the moment it is starting to live a bit with the people I already knew before the training. Working with fellow students is almost quiet, without the consultation it is extremely difficult to bring products to a higher level. The feedback from the teachers is often moderate, this is not due to them, but I do not feel that it helps me to set up a complete end product. I don't hear that much so I assume that things are going well, but with the deadlines in sight I don't know if this is still going. The priority of the training is also rapidly declining, after I have almost been in a meltdown halfway and I also took a few days off on the recommendation of the doctor, it becomes more difficult to worry about school when my mental health here is the Dupe can be. I have already signed up for the Psychologist students in mid -April, but the waiting time of this is until the summer .. I think vacation and free time is the thing I need now, and will probably feel less for this then to start."
807,"Burn out, how later? (with me many other students)"
808,The other interpretations of fellow students and housemates regarding the coronar rules make collaboration/his/life very complicated
810,"loneliness, lack of motivation"
811,"I found it very difficult to concentrate. Many teachers let go of permanent college moments and posted videos on BrightSpace. I would find it very valuable if there were many more fixed times a week, so that I have more structure and hold I have my routine. In addition, a lot of teachers left the possibilities of online education, because it gives limitations but also new tools. A lot of teachers could do more with this to make education more active."
812,Working from home is not always productive. Can not easily show or consult your results. Less contact with fellow students. Less easy contact with professors or employees to ask questions.
813,"Many lectures have been converted to watching video lectures from one or two years ago. As a result, the Semilive contact that you have with teachers (and students in the group app) is a bit more away. In addition, watching videos is demotivating than lectures at set times. If you don't watch that video college, I feel that it has fewer consequences than a live online college, so you postpone it earlier."
814,"- Nothing fun to look forward to - no social interaction except housemates - especially in winter suffering from negative thoughts no sense to be with people - studying at home often did not work well - often experiences online exams as extremely stressful and therefore often not also not Made well / not the feeling that I could have someone about it or that there were something of compensations (explaining home situation, for example, a lot of sound at home so that I never had good concentration etc ..) - finally. Not the feeling from the TU that they have done their best to do something for students from the moment Corona broke out. Now of course, but think it took too long. And organizing such a wellness week felt a bit crooked and not genuinely from the TU."
818,A long term psychotherapist.
820,"I felt very unsafe during the mandatory physical presence. Teachers and students did not comply with the measures and in the studios no one was responsible for checking this. I was obliged to collaborate with people who tested positive a week later. TU Delft has a duty to offer safe education and this duty has not fulfilled. After raising this with the teachers, I received a negative assessment that could not be substantiated. I am very shocked and therefore I decided to look for another university for my master."
821,"Following online lessons became very tiring after a few months. Because there was no variety in how we followed, I didn't feel a student and it was sometimes very difficult to be able to focus well on school work."
826,"Not being able to do fun things like eating out, going to the movies, parties and not being able to study at the TU every day."
830,"1. Workplace too small and not workable 2. No perspective, nothing to do 3. Evening clock 4. Only what was possible was studying 5. Insufficient attention, no understanding of and for students 6. No sport 7. Losing friends"
832,"Disappointment in the fact that the TU believes in the core that mental health is something that students should take care of themselves. In contrast to schools or companies, where teachers or managers engage the right psychologists, it is so that students just fall in between. Nobody actually pay attention to them, you will have to go to the study advisor yourself, and he will then not take the lead. You will have to arrange everything yourself. It is not seen as the responsibility of the TU to ensure that students are mentally healthy, but why?"
833,I think that thesis students should be offered more opportunities on campus.
834,Occasionally it is a pity that you meet so few people of the opposite sex. That ensured that I was occasionally a little inspiration -free.
836,"Mainly contact with professors, my supervisor specifically. By working from home it is impossible to walk by. Because of this you are often stuck with a problem for a longer period of time because contact goes slowly via e -mail."
838,"I Feel Like Filling Out This Surveys Don't Help. I'd Like To See Some Results, Like Averages How the Others Feel (If It is in Total Negative, Some Tips As Follow Up etc)"
839,"The unmotivated teachers. If every course had taken the trouble to give live lectures, I would have had much less trouble motivating myself to follow courses."
841,"As menttioned in Previous Question, I would like to be vaccinated asap. Maybe I Should Ask for Local Municipality by Myself."
842,after
843,"Provide more education at the Faculty. The possibility is there, but our teachers are not obliged to be present. I notice that they continue to zoom, that is their right. But I notice that I am completely done with online education and I think it is a shame that some teachers get rid of everything so easily. For example, I now have a profession where our introduction lectures were not even live. I don't think this is a good start to a new profession, it unfortunately feels a lot of unmotivating for me."
844,"It is very difficult to ask questions to teachers, they are often not available via e -mail, and the BrightSpace discussion platform is not responded to."
845,"Uncertainty from the faculty with regard to courses, projects and exams. Communication was often not enough to give a sense of control with us."
846,"Expand the pressure to do things with friends again, now that everything opens up again with increasing study pressure is not ideal"
849,"Because of Corona I have sustained a study delay, this year I finish my bachelor, I just don't know if I want to start my master if I haven't completed my bachelor yet"
851,The need to see people was very high. Sitting in your small room behind a screen all day is far from optimal.
854,Lack of stimuli and social contact. and over -stimulation and fatigue by starting social life
858,"Very bad study facilities. Is better now. I find it difficult to understand that buildings are completely empty (still) to take the certain for the uncertainty. In that respect, TU Delft, in my opinion, has fallen enormously short (and still). The biggest loss is among the students (especially other graduates) because the graduation process in itself is incredibly lonely (no group work, project groups, lectures, etc.)."
860,My Duwo Housing Contract is ending in the last week of July and it is really tough to find a place for just a couple of months after that. I am planning to graduate in August but finding a place to live could have an effect on that.
862,"I Feel Like the Amount of Actual teaching the Lectures is very low. Students Need to Do Most of the Work Themselves, And This is very frustrating, Especial Considering That Some Lecturers Don't Do Much to Help Ease US Into Their Courses. Learning here Feels More Like Cramming Lattely, Because of the Amount and Difficulty of Information. These Sorts of Learning Regimes Don't Aid in Creating Deep Thinking Minds, IT Only AIDS in Creating Robots That Learn Concepts by Heart, Without Actual Understanding Anything."
865,"The lack of a social faculty environment. I am a first -year Master student and I hardly know any of my year, because I simply never see or talk to them"
870,studying is spicy boring on your own
877,Live Lectures on Campus Exams Please Open Up Campus !!!!!!!!!
879,"Distance education ensures less contact between students, and you are quickly distracted."
880,I Don't Know
886,"With some courses I wonder if I have understood the base well, and I am afraid of courses that still have to come"
891,"I would like the university, for example, to open the bars again, because this is allowed again"
892,"Loneliness, little self -evident contact with other students and supervisors during graduation, or when all that is not possible. It does not feel like there is interest from the TU in my emotional condition and it takes a lot of time to get in touch with people who can help, both inside and outside the TU."
900,"Studying difficult at home in a whole year is the only thing the students of TU Delft have received a lot of candles through the letterbox, that is what we have received for thousands of euros in tuition fees"
901,The lesser/few contact with fellow students because you are not next to each other and do not walk through the corridors but only sits at home.
908,Break out rooms during lectures are not ideal. This could be solved with short assignments in preparation or afterwards to a college that you have to make with 2 to 3 people.
912,"being able to work physically in project groups is nice, but having digital agreements (eg with teachers, or simply within project groups) is also good and sometimes more convenient. Physically lectures ensure that you better keep your concentration there; But the advantage of following Home College is also that at a boring lecture, or with dust you already know, you can easily do something else."
913,Little flexibility around problems with exams. (almost) no 1 on 1 contact with teachers
915,There is no cohesion between the students in general and no connections between teachers and students. This makes it seem like we've been watching YouTube videos for a year and a half without any form of interaction.
921,"Little study of help. For questions you have to send an email to which you sometimes get an answer. The coronacrisis has been difficult for everyone. The university has adhered to all agreements and there is little improvement in this. The difficult choices made in terms of (deteriorated) education have been made to get out of this crisis as quickly as possible. As far as I'm concerned, TU Delft has acted well."
923,"find it difficult that a certain teacher did not delve into finding out how you can make beautiful notes in an online environment. This teacher uses his mouse, making it of course unreadable. I find it difficult to stay motivated if your teacher is not. I wonder if the teachers are being properly guided."
924,Comolications of group work through only online communication more difficult private and study to separate monotonous daily schedule at Weining social stimulation
929,There was no neutral place to meet during Corona with study friends to work and have fun. Making new friends is difficult. Balance between study and private life was a lot harder to find
930,Education is of low quality
931,"I have no friends and I have hardly been able to make new friends, so I feel lonely and have no one to talk to."
932,no concentration and quickly distracted
933,"I Just Wish There Were Better Communities in Delft, I am Often Feeling Lonely, and the Study Does Not Really Promote Social Interaction Either."
936,"Finding graduation counselors could not be done and had a major negative influence for my mental condition. When the lockdown was at its height point, I was disappointed daily for 1.5 months by an empty mailbox. Within that time I sent dozens of emails. Usually only 1.5 weeks (after having sent another reminder) I only received an answer (almost always a rejection). That I knew fewer teachers because I had done my bachelor somewhere else, it didn't make it easier."
937,The fact that things were not communicated enough with students on time and therefore caused much uncertainty. The problems with online exams/proctoring were also very stressful
938,Little to no study places
939,Little contact with fellow students and therefore little 'random' inspiration or motivation for graduation. Graduating during Corona is very lonely because you work all alone and you really have to keep yourself at work.
949,"Without getting to know anyone starting your master, a lot of lack of social contact and lack of motivation of always sitting in the same place."
950,"I tried to push myself to move more and go out more while working from home, but this was sometimes difficult due to the amount of zoomcalls. Perhaps something can be thought of that encourages students to get up and move a little more, because this often does not come to mind. Moving throughout the day is something we did a lot at first, you had to walk from place to place and cycle. Now everything is behind your laptop. Moving is good for your brain, your creativity and your overall well -being. That is why I think this could help if people feel lifeless/slow/unproductive by sitting behind their laptop all day and sitting in Zoommeetings."
951,Less effectively learned by not being able to discuss the substance aloud with fellow students.
952,Loneliness stress less control over emotions tired hopeless
955,"Reserving a study place at the TU was very limited and had to go far ahead. Using a study place was intended for if you could not work at home, but you don't know that a (half) week ahead. Completely switching to digital colleges removes a lot of togetherness and motivation. And not being able to study at another faculty takes the opportunity to study with housemates or friends at other faculties."
957,"Concentration of problems, lack of social interaction, poor quality education"
961,The group works gave birth very badly. Many students do not communicate with each other and work behind their computer without consulting fellow students. Very unfortunate because the quality of the projects is declining
964,"As a Student Who Wants To Do A Masters Program at Another University, I Find the Lack of Resources to Switch Studies at the TU Delft Worrying. Study Councilors and Administrative Personel Are Not Able To Give Proper Advice, and Give Contradictory Statements, which have caused me a lot of Issues"
965,I already liked recorded lectures online in advance. Then I can see for myself when that comes out and the break and back buttons are very handy. think that they work much more effectively compared to old form lectures
967,Social study contact and being able to spar on topics. Not studying next to my bed. I can close the day poorly because there is no physical difference between the places where I work and relax
968,loneliness. (especially for a foreign student or a refugee student)
969,Yes everything around Ewi is a gang (not only literally but also the whole situation). I don't understand how this building can cause so much misery and it seems good if management once keeps an evaluation and perhaps some system engineers involves.
971,A feeling that the TU understands that it is incredibly difficult for us to find some distraction in addition to searching and worrying to complete everyone's health a full -time study
973,Hardly any initiative from the university or study program to make contact among fellow students. I would like to meet people but have not been knowing for a whole year.
974,"Lack of Study Place, Lack of Support from TU No Compensation for Not Being Able to Go to Practicals or Making Use of the Facilities That I Paid for"
975,Contact with supervisors during large projects is very difficult if everything goes through Zoom and mail. This makes it very difficult to do a large project that you do on your own. This makes getting feedback and discussing the project difficult.
976,"severe mental problems, walking out of graduation, further graduating without a client, a graduationchair that the TU left"
983,I personally don't like the fact that you need to buy the book for certain courses (thermodynamics).
984,International Students Don't know when they will get a vaccine.
986,"No, thanks."
987,"After doing everything online for more than a year, I really feel my motivation plummet. It is difficult if the same routine is sitting behind your desk every day and working until the day is over. If you go to the campus it feels very different. In addition, Professor student interaction is very low, and that is not directly due to the professors but more to the design. Personally, I find it difficult during DSE to find the balance. After doing DSE all day, you are just completely empty and you no longer have the motivation to do something useful, sometimes no more energy to do groceries or cook. This makes it difficult to eat healthily and also difficult to keep your room and yourself tidy and clean and that in turn ensures that you have even less motivation. It remains a kind of downward spiral and if it is really too bad, you do something again, but then it just starts again. And I am pretty sure that there are people who find it much more difficult to get out of such a spiral. Furthermore, I am not sure what the university can do about it. But these are my problems of recent times."
988,What I miss the most on days when studying is going to go to the UB spontaneously and to be able to sit there with friends. Reserving now means that it is often not possible to see the day for yourself whether I want to go to the UB.
992,"Studying becomes a bit of a rut, and it is difficult to study together with fellow students"
993,The threshold became very high for me to ask for help from teachers about the curriculum. Normally I do that during the college's break.
994,"Insulated feeling in my room, sometimes the idea that I am alone. That is why I thought it was a shame that the ON6 profession did not give a joint opening but that all lectures were included in advance. When it is live it has more a sense of community"
995,Studying at home is just not fun. I am barely motivated to sit on my studies and therefore I also have much less pleasure in my studies.
997,I missed contact with fellow students. Especially in the second year in which you only do an internship and your thesis. This can best be remedied with study places where you can work and consult together. Meetings organized by the university were fun but was less effective/natural.
1002,Concentration and motivation problems during online colleges.
1004,"Not building ties with fellow students and teachers causes problems because you can't find any understanding with study-related problems (you normally find this at fellow students, but you don't see them now) and not building a bond with teachers is problematic Now that I am looking for a graduation research, but actually have no idea who my teachers are, what they do and how I can best approach them."
1005,"enormous pressure on the students (at least Architecture, ON6). Teachers only increase this pressure more. not well -coordinated grilles. Few free evenings or weekend days. A lot of negativity. stress."
1007,My main problem is that I found it difficult to really make friendships with fellow students and to speak more often than just during working groups or hours that we were allowed to be at the faculty.
1008,"A lack of understanding for each other between students, teachers and the management of the Faculty/TU Delft."
1009,"Few coffee moments with fellow graduates / phders / professors to discuss short things, which means that you will come to a solution less often."
1012,motivation problems because I was in my room all day and could do almost nothing outside
1013,"Applying structure in a day of studying is and remains extremely difficult (that will not get better, not even after a year). I miss my fellow students enormously, both academic (being able to consult/spar about teaching materials) and social. I hope that next year you can really go back to normal, even though that means regularly testing. Testing before you can go to college, pub or party is acceptable."
1014,The communication was very bad in order. I heard much clearer messages from friends at other universities. Here at the TU that was very poorly arranged. I didn't have a good idea what to expect. This is still the case about the situation of the EWI faculty.
1015,Lack of real connection between students and between students and teachers; Lack of occasions on which you could relax.
1016,"The reach via e-mail from some teachers is dramatic. A search for a graduation assignment at this time is very difficult, since walking a teacher is not possible. If there is no response to e-mails, this will take a long time."
1017,I have an ADHD and dyslection and I sometimes notice that this makes me perform worse than I could. For the Corona Crisis I thought the guidance about functional restrictions was already bad and I don't think this has improved. I would really appreciate it if more of students with a function limitation is looked at because it sometimes feels a bit like we are a forgotten group
1018,"In this no survey there was no possibility to indicate which parts of hybrid education should remain and which not, right? I would like to keep the opportunity to attend lectures online, go to university if I want to and follow all group projects as physically as possible. Specific problems were loneliness, extra stress through online exams and due to other technical problems, planning problems due to a lack of compulsory parts. This year I really did and worked a lot on my own, since I don't live in Delft either. That was sometimes quite heavy."
1021,"The communication occasionally suffers from the coronac crisis, so it is not always clear."
1022,"I really hope that this hybrid learning can continuous and that I can finish my master's degree While Being in my home country. Personally, I would be ok with traveling to delft for the exams, but I really hope that the lectures will be continued to be recorded next year as well."
1025,"Because you have little face-to-face contact with fellow students and supervisors, it is very easy to become unseen unmotivated and let your progress relax."
1026,"Many of my friends are abroad, so it is impossible to see them, even if that could be done with vaccinations etc. And I am such a person who would rather not meet too often before I have received a vaccination."
1029,money problems
1030,"Very little contact with others and not knowing where you can ask for help/the step is too big. A lot is already being done about it, but remains difficult. Recently I also have a lot of days of days that are the same every day and stay stuck in it. More variety is needed/desired."
1034,Money
1035,"I entered in February, I had to arrange everything myself. Nobody cared about me."
1036,I have experienced racism against our asian people many times in Delft.
1037,"Human interaction is what normally keeps me motivated, invested and happy. For me, the lack of this was the biggest problem in the past year and a half and the main cause of my other problems. Online or forced contact does not work for me."
1040,"I think it is absolutely unnecessary to still have to take online exams. I have not been in the main building of the faculty for other six months and I feel that I am losing a lot of motivation with this. Is it really impossible to have a minimum physical lesson? Sitting in front of your computer screen for 8 hours a day can no longer be an option on this point. I understand that this is not a choice of TU Delft. What I am very dissatisfied with is that after other six months of making efforts, TU Delft has decided to simply cancel the only academic prospects of many students (minor abroad). I went to a country where Covid is no longer a problem and I have been vaccinated. But the TU still had to cancel it without mercy and that just feels like a slap in the face of the hard -working student. I blame this since this decision is at the TU. The university has taken the patience of the student and I expected more effort or compensation in that area."
1043,Longer Summer Break
1045,"- Loneliness (at Les op Zoom you have no conversations with each other in between, as in real life. It is difficult at Zoom lessons to really get in touch with your fellow students)"
1046,"Physical contact is really much better than online contact and all exams and lectures were arranged differently so a standard for this would be nice. So preferably Bongo for Colleges, Proctored Exams via RPNOW and a similar time on exams (so for a 3 -hour max 4.5 hour in assignments) and an hour later Oral Verification (instead of a week later)"
1047,I think a separation between private and study is the most important because you are so mentally much healthier. A separate study place outside the house is actually a requirement for that.
1049,Studying indoors all day without contact with fellow students and/or friends of large student houses given risk
1050,Less social outings with friends
1052,Nothing Special
1053,"No lecture or accessible way that you could learn about gloom: what it is, what the symptoms are, how you can best remedy (without a psychologist since the waiting times are very long), what you can expect in that process (recovering of gloom) And how you should go with that."
1054,No
1056,"Connection, sports and cosiness. Anyway, everyone will probably say this. Suddenly I noticed how nice it is to just see all your friends at the TU"
1057,I think it is extremely important for everyone that everyone can study as much as possible on campus. There must be even more focus on this.
1058,"I feel that I am no longer part of student life. It is important for me to have a clear separation between studying and my life. In addition, I get out of my words badly through a screen and I find it difficult to discuss my work."
1059,"I have missed the lack of random contact with fellow students in particular, but I think this is difficult to be solved by the TU."
1060,"concentration, motivation, being in the same room for too long, missing the atmosphere in IO"
1061,"Nothing for the Moment, I Think Everything Has Been Talked About About"
1064,"I don't meet new people, I don't get out of the house for a week."
1065,"Stress, the feeling that I have many responsibilities that I get less due to a lack of motivation, a lot of social pressure because you still want to see everyone but I am small groups that are full every evening with an appointment with 1 person instead of a few evenings with a group"
1066,private time and school time ratio is a bit difficult
1067,"The only problem I actually had was just sitting at home. Is fun for a week, but after that it becomes boring and antisocial."
1070,Just the need of having to go somewhere everyday
1071,The New Exam Registration Rules Harm Students.
1072,"Too short of interaction with fellow students, vague planning when it comes to whether or not may be present. Too many different comunication platforms. (Before my brusje it was difficult to comunicate with some professors and the problem of no answers played sheet more a role because it was difficult to comic by students among themselves"
1073,Just studying is a lot harder. Motivating yourself to study is difficult. Especially if you have to in the same place where you sleep
1075,Little social input and making contact with others is difficult and exciting. You don't know very well whether others already know each other or are in the same boat. It is difficult to estimate how others are doing and how others think things are going with you.
1078,The most difficult thing is no longer easy to meet your fellow students and thereby study / being together. Working together remotely remains a challenge.
1081,Tiring online meetings
1085,NAH
1086,Poor sleep rhythm
1087,Studying at home and lack of empathy from the TU
1088,No
1089,motivationless and friendly
1091,"Focus concentration. Keep an overview, often because it is no longer possible through contact at the university, which of course turns out to be for me. Now it is to find everything yourself, which is logically to do, but not of course for me"
1093,Combine everything above. Study together = Faster/better understand = achieving a better result together
1094,Very poor communication between student and professors. I do not feel that the interests of the student are discussed.
1096,Nothing
1098,received little of what was smashed in the field
1099,Nothing
1100,The past year have leg tough aspecyly for International Students. I Feel Like We have not leg treated fairly and this has caused a high possibility of delay in our studies. 90 percent of the people I know are not graduating on time. There are many factors that the tu are just not consulting from the point of view of the international students. So Please Reduce the Tuition for International Students and Let Us Stress Less
1101,High workload without distraction
1103,"- see few friends
 -Weig fellow students
 -Weig social interaction"
1105,More real-life interactions with people and to do that more on-campus education needs to be implemented soon.
1107,Fewer options for losing accumulated stress with hobbies. Increased social fear due to less contact with other people
1108,"UB Studying is now partially back, but that would have been possible before I am concerned and the offer is still not very extensive"
1110,Loneliness / Motivation Problems / Uncertainty / Randomness of Approach subjects in the crisis / Breaking of student days
1111,"Poor sleep, concentration level drops, giving up is easier"
1112,"As a first year student I will really like to have a clean introduction week Since I Didn't Have the Chance to That The Previous Year! I really because to meet new people, party and have some fun before another exhausting academic year inkins."
1113,"Please try to find other ways to avoid fraud in exams, not just make the exams so hard and add many questions in exams."
1115,"In my home workroom there is never really rest because of the amount of sound in and around my house, and through single glass it was cold in the winter and now too hot. Due to the coronacrisis there were fewer people to find internship/graduation places at companies, they are now there again, but for me too late. In the end there was a physical graduation agency for me at the faculty, but the first month I had to work from home and that was very tough."
1116,Just sitting at home all day had very bad effects on me. I only dreamed about study. Lack of relaxation made me overworked.
1117,"Loss of the internet connection, the lack of social contacts, a lower motivation, more intrinsic motivation required by less social control"
1118,all your life happened in a room
1119,"The problem that is insoluble is the lack of physical interaction and the screen time that it entails. Personally, I find nothing as tiring as being behind a laptop 8 hours a day, in an environment that is not well arranged for that. This causes mental powers due to the lack of communication with loved ones and physical complaints due to a non -ergonomic attitude."
1120,thank you
1121,Little social contact. Sometimes forget to go outside. Did not enjoy a good relationship with study. Afraid to ask questions because of the lack of contact with fellow students and lecturers. Always have the feeling that you have to study so that relaxation is not relaxing
1123,The Tuition Fees Should Be Reduced Duration the Corona Crisis.
1125,no
1128,Reduce the International Tuition Fees For Next Year and Provide More Counselors That We Can Talk To.
1130,Teachers communication via the online platform can be better. Some teachers did not think along with the fatigue of the whole day behind your screen.
1132,I do my thesis at a company and I had a lot of trouble working there because of the online situation
1133,I Feel the University Should Take Time to Understand The Stress Levels Of Students And Take Necessary Actions to Prevent It.
1134,No comment
1136,N / A
1137,Just Want on-campus Education
1138,No daytime activities outside the door and no bond with the university
1139,It would be nice to know that the answers of this questionnaire are being read and not just bee plotted by the scores.
1140,I Don't Know
1141,I fear that only 'semi' mandatory education (on certain days) can re -establish social academic cohesion. If it is too non -binding or there are too many obstacles then it is very difficult to create this. The creative process of discussion cannot be placed in fixed jobs and will therefore only be able to return in one way. Without this process you can hardly call yourself a pride in engineer.
1144,Not other than what I filled out in this form!
1146,nope
1147,No this is all!
1148,I had little motivation through studying at home a lot
1149,no needs
1150,Communicating especially over a longer period only digital is really very tiring. I often have trouble keeping my attention if meetings are longer than 1 or 2 hours
1151,skip
1155,Not really
1156,"Due to the lack of contact with fellow students, it is difficult to talk about personal problems and study-related struggles"
1157,"Working together via Zoom is sometimes difficult, certainly to motivate each other"
1158,no
1160,Difficult to motivate yourself if you can only sit in your room
1162,"I missed the making together, so it mainly felt that I had to do everything alone"
1163,"Family drama, problems with focusing, product division is very low, I am ignored by my studies on advisers."
1165,Anxiety disorder developed.
1167,"Concentration problems, not being able to ask questions, feels like LR is not fascinating who you are"
1168,no
1169,Handing in the wrong file with a digital exam was a low point 🙃
1171,No
1172,"My Master is an EU Master, and during Corona Time I only followed courses abroad, so I don't know what it's like here, but I thought the Uni's could outsource a little more money for good equipment for professors so that they have their lessons could give well. By this I mean, for example, a microphone or a tablet to be able to write. It would also have been nice if some sort of deal had been closed with a company that supplies workplace supplies so that students could set up an ergonomic workplace at a discount. Furthermore, I am very satisfied with the rapid tests that we now receive for free. That also makes social life a little more fun."
1176,skip
1177,"I think's nice that you are doing this, but to me I think my well being is relationship to my future job expectations and what I have not achieved or able to do me. Yet, I hope it Helps to Future Students :)"
1178,no
1179,Visiting Research Groups for Master Thesis Project Orientation was not really Possible.
1181,"Online education has a bad influence on my study results. Where I achieved most 55/60 out of 60 points for Corona, there are now 40/60"
1182,"The drastic reduction of social contact, both during and outside study hours, has ensured that I have little energy and quickly get exhausted from social contact that I do have now more is allowed again"
1184,My supervisors did not know me at all when I studied at home and I didn't. That led to a lot of mass communication. I also miss it very much to study with fellow students who are not necessarily my friends. There are a lot of nice fellow students that I will never speak again
1185,I have nothing to add.
1186,"Having no study place that the same amount is expected of me while I am doing little at the moment, the stress, and not having no structure"
1188,- Being unable to get in touch with professors that you are dependent on to be able to graduate. - Graduation date that is moved non stop.
1189,"0 Contact with fellow students. As third -year -olds who still have to follow 2nd -year courses, I often felt uncomfortable to add online to a company of younger -year students. Everything was recorded and that made it easy to skip and leave all the work before the end of the period (completely own fault) but still happened. I firmly believe that weekly test moments that oblige you to go through the material and count (little every time) will have a very good influence on planning and continuing to follow any hybrid form"
1190,"Not being able to watch with other groups, little exercise"
1191,"After several signals from the news, I want to see for upcoming years of study that the university is doing more about (sexual/sexist) behavior"
1192,That I have completely lost my motivation for my studies and graduation.
1193,"Colleges via Zoom works poorly in terms of concentration. Furthermore, projects are difficult to do through Zoom if fellow students are not motivated"
1194,Studying home is mentally difficult to keep study and private life separate. This makes it often difficult to focus at home
1195,That the TU takes the last bit of fun of the students for inexplicable reasons.
1196,- A broken camera of my laptop so that I could not turn it on at Zoommeetings. - boredom
1197,It is very difficult to deal with that others are allowed to meet every week while I am not allowed to. I feel that the well -being of others is more important than my well -being.
1199,No
1201,Please Provide Quality Training for Online Education Mandatorilly to All Professors.
1202,"Concentration problems, felt alone and bleakly, have been demotivated/have had, depressive symptoms, study backlog nevertheless I had already received a BSA delay"
1203,"As an international, the financial pressure I am under is truly unbearable, I have also my student job at the university, the tuition fees are exorbitant and the economic situation in my home country is really bad so no longer relay on my parents For Support, and I am Already Delayed in My Studies"
1204,"Loneliness due to lack of contact with fellow students and friends. Also due to a lack of social activities. Lack of qan energy and motivation and concentration due to loneliness and boring life at home. Studying in a student room is not a solution. This succeeds a necky time as an addition input, but only at external locations there is productivity, together with fellow students."
1205,"Sad because of the situation, want to go to the faculty, not all the time people only see on screen, whole social life upside down, no more rhythm in terms of study and sport, annoying situations with people who take Corona less seriously, or more serious, doubt about 'Risks' that you take to see people"
1206,No
1207,"I was in group projects with all fellow students who still lived with their parents at home and I in Delft, so I could not easily meet them physically."
1208,No
1210,More Study Spaces on Campus
1212,"Stress, delayed reactions professors, difficult exams, varying understanding and compassion, high workload"
1215,"The possibility to talk to a psychologist (I didn't even try it, heard that the waiting time is 8 weeks).
 Better exams - there was so much hassle with online proctoring, too long exams, canceled exams, fraud suspects etc ... Why are students not just trusted? Without that trust you can also simply copy at OP."
1216,Little social contact with fellow students.
1217,"Seen few people, even if you take exams in large halls."
1219,skip
1220,Therapy Sessions should be Almost Mandatory and Provided to Everyone.
1222,no
1223,"Everything has a registration obligation that gives a lot of (unnecessary) stress and microm management. Just walk to the UB, spontaneously agree that I miss the most"
1227,"Since March 2020 I have been on campus for 4 hours, I have practically no contact with fellow students. This is very bad for my motivation, because I see no reason for which I am still doing it"
1231,There was no TA at the home college
1232,no
1233,"As mentioned earlier, working and relaxing in the same place is extremely difficult, because with one activity you constantly think of the other. In addition, a huge lack of being outside and sport has been a damper for the physical condition, which in turn handed out a blow to my mental health. Moreover, being unable to see the friends and family that I care has been very difficult, especially because those social contacts for my mental condition are normally very good. That they were missing in the last year and a half made everything much more difficult"
1234,- Little motivation because you are at home all the time
1237,no
1239,Nothing That Hasn't Been Mentioned In The Previous Answers
1241,"I miss the possibility of discussing how the college was, and for group work to talk together, I miss a lot. In my opinion, studying is more than just the content of courses, but not now."
1243,"Sitting alone at home. Exercising on X was not possible for a long time, this also made that period very difficult. I think a lot of students are really happy that the gym and outdoor sports can be done again. I know you can study on civil, but it is not obvious that this has been made possible for everyone. A lot of uncertainty about what is possible and what is not. In addition, this is different per faculty is also a bit separate. To organize an event for all students and to get them moving, it would be very nice if, for example, a running competition was organized. Like the campus run, but really together. Exercise outside with 50 people, so an event in 3 or 4 shifts, makes it very nice for 200 people to exercise together and run 5 or 10 kilometers."
1245,Nothing More
1246,I have had no problems. Only it is more difficult to arrange certain things (eg finding an internship).
1247,None.
1248,"Loneliness, lack of guidance, depression, a lot of uncertainty and dissatisfaction that I have not been able to give a place"
1249,There is Nothing Else At The Moment
1250,My points are all included in the previous answers of this survey. My main message: study itself - Excellent! Studying - Looking up the physical & mental limit!
1252,I have none
1253,Teachers hard to reach
1254,Depressive episodes
1258,Concentration of problems and uncertainty about schedule/timetable. The Lockdown also caused a lot of gloom complaints for me.
1259,"All will be fine, the end is good in sight"
1260,It Doesn't Feel Like My Voice Is Heard In The Aerospace Faculty
1262,"Few things that gave me energy, while I needed more energy to study, because of the great responsibility that the online study entails. It feels like more of you is being asked, while the circumstances make it difficult enough for you."
1265,It was very difficult that we could not go to the TU and had to leave the student atmosphere.
1267,"It would be great if there was some child of check on courses that have low passing rates, Maybe Something's Wrong with the way they are Being Taught."
1268,"Getting distracted during lectures, some lectures are not given live so you can't ask questions, don't find it necessary to take a shower or have breakfast for a lecture, which means I am not really awake, a waiting time of 11 weeks at the student psychologist, so you never have on time You can learn to manage stress, my sport couldn't go on so I tried many things (jogging, yoga, rugby, etc.) but nothing more than 3 times because I just didn't like it and therefore not exercise"
1269,"Live lectures often had little added value, sometimes recorded videos had helped better"
1271,- The ProCtoring at Probability & Statistics felt unnecessary
1274,not necessarily call it a problem
1277,"little social contact, tired eyes through screen, working at home too long,"
1278,"More understanding from the TU, since it has been very difficult for the students to have to sit at home so much and to have so little prospect."
1279,"Making a good layout for yourself in studying and non-studying is difficult. In addition, the motivation also dropped considerably, I prefer to be outside all day and in motion."
1280,Missing physical design education
1282,"By being an international student in recent months I have found it difficult to visit family and friends at home. In addition, the annual schedule of the Academic Year 2021-2022 and more time with friends makes almost impossible for me, so I don't have the impression that my mental situation will greatly improve. I doubt that they want to be more on campus between next year to have a better study experience or to want to be less on campus to be able to spend time with family easier."
1283,"Little exercise, lack of concentration."
1285,"Little contact with fellow students, more alone exercising and learning and a boring life."
